,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
4,872,Singin' in the Rain,7200000,"[35, 10402, 10749]",1643,8.2,1952-04-09,en,Singin' in the Rain,14.114
5,500,Reservoir Dogs,2859750,"[80, 53]",8559,8.2,1992-09-02,en,Reservoir Dogs,23.472
6,439,La Dolce Vita,19516000,"[35, 18]",864,8.2,1960-02-05,it,La dolce vita,12.719
7,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272,"[35, 18, 10752]",3177,8.2,1964-01-29,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,15.437
8,14696,Ugetsu,0,"[18, 14, 9648]",230,8.2,1953-03-26,ja,雨月物語,11.051
9,16869,Inglourious Basterds,321455689,"[18, 28, 53, 10752]",13787,8.2,2009-08-18,en,Inglourious Basterds,24.295
10,359940,"Three Billboards Outside Ebbing, Missouri",158526998,"[80, 18]",6270,8.2,2017-11-10,en,"Three Billboards Outside Ebbing, Missouri",15.623
11,147,The 400 Blows,0,[18],947,8.1,1959-05-04,fr,Les Quatre Cents Coups,14.269
12,28978,The Circus,0,"[35, 10749]",336,8.1,1928-01-06,en,The Circus,10.151
13,334543,Lion,140312928,[18],4396,8.1,2016-11-24,en,Lion,24.206
14,98,Gladiator,457640427,"[28, 12, 18]",10998,8.1,2000-05-01,en,Gladiator,25.58
15,282848,Doctor Who: The Time of the Doctor,0,"[18, 878, 10770]",203,8.1,2013-12-25,en,Doctor Who: The Time of the Doctor,9.302
16,832,M,0,"[28, 80, 18, 53]",1019,8.1,1931-05-11,de,M - Eine Stadt sucht einen Mörder,13.752
17,1422,The Departed,289847354,"[18, 53, 80]",9009,8.1,2006-10-05,en,The Departed,19.346
18,100,"Lock, Stock and Two Smoking Barrels",28356188,"[35, 80]",3655,8.1,1998-03-05,en,"Lock, Stock and Two Smoking Barrels",9.598
19,50014,The Help,124272124,[18],4467,8.1,2011-08-09,en,The Help,13.412
0,515001,Jojo Rabbit,82468705,"[35, 18, 10752]",2208,8.1,2019-10-18,en,Jojo Rabbit,68.363
1,149871,The Tale of the Princess Kaguya,24186232,"[16, 18, 14]",753,8.1,2013-11-23,ja,かぐや姫の物語,17.442
2,111,Scarface,66023329,"[28, 80, 18, 53]",6285,8.1,1983-12-08,en,Scarface,19.169
3,11645,Ran,4069653,"[28, 18, 36]",697,8.1,1985-06-01,ja,乱,13.682
4,833,Umberto D.,0,[18],269,8.1,1952-01-20,it,Umberto D.,8.117
5,92321,Hotarubi no Mori e,0,"[10749, 16, 14]",330,8.1,2011-09-17,ja,蛍火の杜へ,0.6
6,92060,Michael Jackson's Thriller,0,"[27, 10402]",273,8.1,1983-11-14,en,Michael Jackson's Thriller,9.123
7,11324,Shutter Island,294804195,"[18, 9648, 53]",14504,8.1,2010-02-14,en,Shutter Island,21.17
8,961,The General,0,"[28, 12, 35]",531,8.1,1926-12-31,en,The General,11.487
9,8392,My Neighbor Totoro,0,"[16, 14, 10751]",3994,8.1,1988-04-16,ja,となりのトトロ,38.659
10,289,Casablanca,10462500,"[18, 10749]",2919,8.1,1942-01-23,en,Casablanca,18.038
11,160885,Tel chi el telùn,0,[35],241,8.1,2009-03-01,it,Tel chi el telùn,5.704
12,449176,"Love, Simon",60848932,"[35, 18, 10749]",3772,8.1,2018-02-16,en,"Love, Simon",15.427
13,1059,The Hidden Fortress,0,"[28, 12, 35, 18]",249,8.1,1958-12-28,ja,隠し砦の三悪人,11.219
14,857,Saving Private Ryan,481840909,"[18, 36, 10752]",9535,8.1,1998-07-24,en,Saving Private Ryan,20.822
15,264644,Room,35401758,"[18, 53]",6188,8.1,2015-10-16,en,Room,15.595
16,11712,Sanjuro,0,"[18, 28, 35]",258,8.1,1962-01-01,ja,椿三十郎,10.047
17,603,The Matrix,463517383,"[28, 878]",16139,8.1,1999-03-30,en,The Matrix,33.136
18,110416,Song of the Sea,857522,"[16, 14, 10751]",790,8.1,2014-09-06,en,Song of the Sea,12.018
19,237791,The Way He Looks,0,"[18, 10749]",644,8.1,2014-03-28,pt,Hoje Eu Quero Voltar Sozinho,7.395
0,19426,Nights of Cabiria,752045,[18],305,8.1,1957-10-03,it,Le notti di Cabiria,12.113
1,655,"Paris, Texas",2181987,[18],687,8.1,1984-05-19,en,"Paris, Texas",14.231
2,600,Full Metal Jacket,46357676,"[18, 10752]",6013,8.1,1987-06-26,en,Full Metal Jacket,19.236
3,7345,There Will Be Blood,77208711,[18],3419,8.1,2007-12-28,en,There Will Be Blood,18.734
4,654,On the Waterfront,9600000,"[80, 18]",786,8.1,1954-06-22,en,On the Waterfront,13.706
5,378108,In This Corner of the World,19496308,"[18, 16, 10749, 10752, 36]",235,8.1,2016-11-12,ja,この世界の片隅に,8.07
6,11423,Memories of Murder,26000000,"[80, 18, 53]",1265,8.1,2003-05-02,ko,살인의 추억,19.776
7,10242,What Ever Happened to Baby Jane?,0,"[18, 27, 53]",521,8.1,1962-10-31,en,What Ever Happened to Baby Jane?,10.083
8,18438,Castaway on the Moon,0,"[35, 18, 10749]",321,8.1,2009-05-14,ko,김씨 표류기,7.309
