,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
481,482,This Changes Everything,"$125,348","$64,988",51.8%,"$60,360",48.2%
482,483,Mary Magdalene 2019 Re-release,"$124,741","$124,741",100%,-,-
483,484,Easy Rider 2019 Re-release,"$123,276","$123,276",100%,-,-
484,485,Tremors,"$121,813","$23,911",19.6%,"$97,902",80.4%
485,486,A Tuba to Cuba,"$121,772","$121,772",100%,-,-
486,487,Avant qu'on explose,"$119,894","$119,894",100%,-,-
487,488,Mob Psycho 100,"$115,766","$115,766",100%,-,-
488,489,Police Story,"$113,164","$113,164",100%,-,-
489,490,Skin,"$112,833",-,-,"$112,833",100%
490,491,Babylon,"$109,749","$109,749",100%,-,-
491,492,The Brink,"$106,057","$106,057",100%,-,-
492,493,Cold Case Hammarskjöld,"$104,965","$104,965",100%,-,-
493,494,Hotel by the River,"$101,879","$28,354",27.8%,"$73,525",72.2%
494,495,Those Who Remained,"$101,737",-,-,"$101,737",100%
