,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
312,313,The Man Who Killed Don Quixote,"$2,390,383","$391,963",16.4%,"$1,998,420",83.6%
313,314,1991,"$2,342,264","$2,342,264",100%,-,-
314,315,The House That Jack Built 2018 Re-release,"$2,268,855","$87,993",3.9%,"$2,180,862",96.1%
315,316,Puzzle,"$2,260,946","$2,032,018",89.9%,"$228,928",10.1%
316,317,An Interview with God,"$2,251,795","$1,201,434",53.4%,"$1,050,361",46.6%
317,318,At War,"$2,235,052","$4,605",0.2%,"$2,230,447",99.8%
318,319,3 Faces,"$2,191,516","$72,324",3.3%,"$2,119,192",96.7%
319,320,Maria By Callas 2018 Re-release,"$2,185,562","$1,267,301",58%,"$918,261",42%
320,321,Border,"$2,177,678","$771,930",35.4%,"$1,405,748",64.6%
321,322,Veere Di Wedding,"$2,176,099",-,-,"$2,176,099",100%
322,323,High Life,"$2,133,033","$1,225,852",57.5%,"$907,181",42.5%
323,324,Indian Horse,"$2,097,362","$2,097,362",100%,-,-
324,325,Mary Shelley,"$2,096,600","$108,900",5.2%,"$1,987,700",94.8%
325,326,Black '47,"$2,073,063","$57,520",2.8%,"$2,015,543",97.2%
326,327,Under the Silver Lake,"$2,053,469","$46,083",2.2%,"$2,007,386",97.8%
327,328,Raid,"$2,031,135","$1,010,385",49.7%,"$1,020,750",50.3%
328,329,Climax,"$2,027,391","$817,339",40.3%,"$1,210,052",59.7%
329,330,Peterloo,"$1,998,945","$151,971",7.6%,"$1,846,974",92.4%
330,331,The Metropolitan Opera HD Live: Verdi: La Traviata,"$1,982,588","$1,882,931",95%,"$99,657",5%
331,332,Maquia: When the Promised Flower Blooms,"$1,979,604","$185,699",9.4%,"$1,793,905",90.6%
332,333,The Pact,"$1,855,647","$2,488",0.1%,"$1,853,159",99.9%
333,334,Sweet Country,"$1,847,693","$104,297",5.6%,"$1,743,396",94.4%
334,335,The Little Stranger,"$1,824,902","$713,143",39.1%,"$1,111,759",60.9%
335,336,The Seagull,"$1,820,461","$1,252,960",68.8%,"$567,501",31.2%
336,337,Moses,"$1,807,117","$1,807,117",100%,-,-
337,338,The Metropolitan Opera HD Live: Puccini: La Bohème,"$1,764,201","$1,764,201",100%,-,-
338,339,The Metropolitan Opera HD Live: Massenet: Cendrillon,"$1,747,259","$1,243,306",71.2%,"$503,953",28.8%
339,340,Beast,"$1,744,071","$800,365",45.9%,"$943,706",54.1%
340,341,A Faithful Man,"$1,720,605","$77,491",4.5%,"$1,643,114",95.5%
341,342,Grease 2018 Re-release,"$1,710,727","$1,213,413",70.9%,"$497,314",29.1%
342,343,The Wild Pear Tree,"$1,696,258","$34,014",2%,"$1,662,244",98%
343,344,Sorry Angel,"$1,636,273","$30,628",1.9%,"$1,605,645",98.1%
344,345,I Still See You,"$1,620,637","$1,359",<0.1%,"$1,619,278",99.9%
345,346,The Metropolitan Opera HD Live: Verdi: Aida,"$1,595,902","$1,595,902",100%,-,-
346,347,Made in India,"$1,594,164","$790,628",49.6%,"$803,536",50.4%
347,348,Yardie,"$1,551,163","$36,012",2.3%,"$1,515,151",97.7%
348,349,Mystery Train,"$1,544,973","$1,541,218",99.8%,"$3,755",0.2%
349,350,Kedarnath,"$1,538,846","$901,131",58.6%,"$637,715",41.4%
350,351,Princess Mononoke 2018 Re-release,"$1,519,321","$1,423,877",93.7%,"$95,444",6.3%
351,352,The Miseducation of Cameron Post,"$1,451,729","$904,703",62.3%,"$547,026",37.7%
352,353,The Dawn Wall 2018 Re-release,"$1,442,013","$970,032",67.3%,"$471,981",32.7%
353,354,Vox Lux,"$1,399,272","$727,119",52%,"$672,153",48%
354,355,Sometimes Always Never,"$1,377,856",-,-,"$1,377,856",100%
355,356,Swimming with Men,"$1,377,748","$24,708",1.8%,"$1,353,040",98.2%
356,357,Little Italy,"$1,362,536","$990,230",72.7%,"$372,306",27.3%
357,358,Foxtrot,"$1,356,159","$618,883",45.6%,"$737,276",54.4%
358,359,Mandy,"$1,335,484","$1,214,525",90.9%,"$120,959",9.1%
359,360,The Metropolitan Opera HD Live: Rossini: Semiramide,"$1,332,900","$1,033,651",77.5%,"$299,249",22.5%
360,361,The Metropolitan Opera HD Live: Mozart: Così fan tutte,"$1,302,949","$1,302,949",100%,-,-
361,362,The Cakemaker,"$1,287,568","$875,751",68%,"$411,817",32%
362,363,Shed Skin Papa,"$1,278,065","$13,331",1%,"$1,264,734",99%
363,364,Yellow Submarine,"$1,273,261","$992,305",77.9%,"$280,956",22.1%
364,365,Beautifully Broken,"$1,271,572","$1,209,645",95.1%,"$61,927",4.9%
365,366,Guy,"$1,257,937","$1,319",0.1%,"$1,256,618",99.9%
366,367,The Captain,"$1,196,669","$109,226",9.1%,"$1,087,443",90.9%
367,368,The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,"$1,195,758","$1,195,758",100%,-,-
368,369,The Metropolitan Opera HD Live: Verdi: Luisa Miller,"$1,166,858","$1,166,858",100%,-,-
369,370,Roma,"$1,148,031",-,-,"$1,148,031",100%
370,371,Elliot the Littlest Reindeer 2018 Re-release,"$1,142,187","$24,262",2.1%,"$1,117,925",97.9%
371,372,Look Away,"$1,119,537",-,-,"$1,119,537",100%
372,373,The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,"$1,115,018","$1,115,018",100%,-,-
373,374,Sunset,"$1,083,299","$164,906",15.2%,"$918,393",84.8%
374,375,The Dark Crystal 2018 Re-release,"$1,036,956","$1,036,956",100%,-,-
375,376,The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,"$1,023,233","$1,023,233",100%,-,-
376,377,Husband Material,"$1,016,545","$567,417",55.8%,"$449,128",44.2%
377,378,Elvis: The Comeback Special,"$1,010,657","$1,010,657",100%,-,-
378,379,National Theatre Live: Antony & Cleopatra,"$998,079","$83,672",8.4%,"$914,407",91.6%
379,380,Labyrinth 2018 Re-release,"$993,336","$993,336",100%,-,-
380,381,Transit,"$982,372","$815,290",83%,"$167,082",17%
381,382,Journey's End,"$970,809","$161,796",16.7%,"$809,013",83.3%
382,383,Ryuichi Sakamoto: Coda,"$960,212","$117,460",12.2%,"$842,752",87.8%
383,384,A Prayer Before Dawn,"$958,883","$14,453",1.5%,"$944,430",98.5%
384,385,The Endless,"$956,425","$272,020",28.4%,"$684,405",71.6%
385,386,The Catcher Was a Spy,"$953,953","$725,223",76%,"$228,730",24%
386,387,Becoming Astrid,"$938,766","$120,486",12.8%,"$818,280",87.2%
387,388,Schindler's List 2018 Re-release,"$937,140","$833,050",88.9%,"$104,090",11.1%
388,389,White Christmas 2018 Re-release,"$928,298","$928,298",100%,-,-
389,390,Like Arrows,"$928,265","$817,990",88.1%,"$110,275",11.9%
390,391,Kirk Cameron: Connect,"$918,127","$918,127",100%,-,-
391,392,The Lodgers,"$916,727","$7,362",0.8%,"$909,365",99.2%
392,393,Revenge,"$913,331","$102,091",11.2%,"$811,240",88.8%
393,394,Kings,"$910,269","$274,635",30.2%,"$635,634",69.8%
394,395,The Metropolitan Opera HD Live: Nico Muhly: Marnie,"$865,551","$849,710",98.2%,"$15,841",1.8%
395,396,Lizzie,"$844,786","$642,157",76%,"$202,629",24%
396,397,BANDSTAND: The Broadway Musical on Screen,"$839,554","$839,554",100%,-,-
397,398,The Heiresses,"$811,196","$78,473",9.7%,"$732,723",90.3%
398,399,Mrs. Hyde,"$778,142","$18,627",2.4%,"$759,515",97.6%
399,400,The Invisibles,"$764,250","$407,373",53.3%,"$356,877",46.7%
400,401,Pick of the Litter,"$763,688","$578,717",75.8%,"$184,971",24.2%
401,402,Museo,"$759,626","$148,505",19.5%,"$611,121",80.5%
402,403,Boundaries,"$755,977","$703,438",93.1%,"$52,539",6.9%
403,404,Ramen Shop,"$734,347","$88,455",12%,"$645,892",88%
404,405,The Polar Express 2018 Re-release,"$731,018","$731,018",100%,-,-
405,406,Slaughterhouse Rulez,"$730,762","$4,665",0.6%,"$726,097",99.4%
406,407,Liz and the Blue Bird,"$726,454","$63,204",8.7%,"$663,250",91.3%
407,408,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875","$707,875",100%,-,-
408,409,Itzhak,"$704,968","$607,290",86.1%,"$97,678",13.9%
409,410,Blaze,"$704,955","$704,955",100%,-,-
410,411,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,"$695,130","$695,130",100%,-,-
411,412,In the Aisles,"$694,586","$28,394",4.1%,"$666,192",95.9%
412,413,The Trump Prophecy,"$671,198","$671,198",100%,-,-
413,414,Anna and the Apocalypse,"$670,430","$545,597",81.4%,"$124,833",18.6%
414,415,Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982","$658,982",100%,-,-
415,416,Ponyo 2018 Re-release,"$653,072","$653,072",100%,-,-
416,417,Batti Gul Meter Chalu,"$635,869","$249,539",39.2%,"$386,330",60.8%
417,418,"Love, Gilda","$626,318","$626,318",100%,-,-
418,419,The Sound of Music 2018 Re-release,"$624,392","$616,171",98.7%,"$8,221",1.3%
419,420,Die Hard 30th Anniversary Release,"$620,525","$510,241",82.2%,"$110,284",17.8%
420,421,The Transformers,"$619,597","$619,597",100%,-,-
421,422,The Reports on Sarah and Saleem,"$607,206","$117,479",19.3%,"$489,727",80.7%
422,423,The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,"$605,764","$605,764",100%,-,-
423,424,"DCI 2019: Big, Loud & Live 16","$603,320","$603,320",100%,-,-
424,425,Oh Lucy!,"$600,145","$375,391",62.6%,"$224,754",37.4%
425,426,The Big Lebowski 2018 Re-release,"$592,832","$582,585",98.3%,"$10,247",1.7%
426,427,Bilal: A New Breed of Hero 2018 Re-release,"$576,805","$490,973",85.1%,"$85,832",14.9%
427,428,The Cat Returns 2018 Re-release,"$563,718","$563,718",100%,-,-
428,429,Beetlejuice 2018 Re-release,"$562,613","$512,947",91.2%,"$49,666",8.8%
429,430,Kusama: Infinity,"$558,052","$360,931",64.7%,"$197,121",35.3%
430,431,Castle in the Sky 2018 Re-release,"$557,541","$523,664",93.9%,"$33,877",6.1%
431,432,Rojo,"$557,092","$94,757",17%,"$462,335",83%
432,433,Dhadak,"$549,628",-,-,"$549,628",100%
433,434,My Generation,"$546,183",-,-,"$546,183",100%
434,435,He's Out There,"$544,674",-,-,"$544,674",100%
435,436,Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,"$540,707","$540,707",100%,-,-
436,437,Karwaan,"$536,525","$182,009",33.9%,"$354,516",66.1%
437,438,What They Had,"$533,579","$260,136",48.8%,"$273,443",51.2%
438,439,Grave of the Fireflies,"$516,962","$516,962",100%,-,-
439,440,The Sandlot 2018 Re-release,"$516,130","$516,130",100%,-,-
440,441,Bullitt 2018 Re-release,"$511,350","$511,350",100%,-,-
441,442,Monsters and Men,"$510,967","$500,101",97.9%,"$10,866",2.1%
442,443,Have a Nice Day,"$504,003","$79,393",15.8%,"$424,610",84.2%
443,444,London Fields,"$487,420","$252,676",51.8%,"$234,744",48.2%
444,445,Matangi/Maya/M.I.A,"$469,489","$230,808",49.2%,"$238,681",50.8%
445,446,Puffs: Filmed Live Off Broadway,"$464,483","$464,483",100%,-,-
446,447,MFKZ,"$461,724","$229,423",49.7%,"$232,301",50.3%
447,448,Scotty and the Secret History of Hollywood,"$461,689","$461,689",100%,-,-
448,449,South Pacific 2018 Re-release,"$458,000","$458,000",100%,-,-
449,450,The Gospel According to André,"$454,550","$400,713",88.2%,"$53,837",11.8%
450,451,Leaning Into The Wind,"$452,372","$400,530",88.5%,"$51,842",11.5%
451,452,Porco Rosso 2018 Re-release,"$443,059","$443,059",100%,-,-
452,453,Elf 2018 Re-release,"$442,073","$442,073",100%,-,-
453,454,We the Animals,"$434,743","$400,961",92.2%,"$33,782",7.8%
454,455,DCI 2018 Tour Premeire,"$434,008","$434,008",100%,-,-
455,456,The Sower,"$433,112","$36,233",8.4%,"$396,879",91.6%
456,457,Andy Irons: Kissed by God,"$430,393","$285,933",66.4%,"$144,460",33.6%
457,458,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,"$422,760","$413,039",97.7%,"$9,721",2.3%
458,459,Frankenstein 2018 Re-release,"$417,783","$417,783",100%,-,-
459,460,Happy Phirr Bhag Jayegi,"$417,669","$103,385",24.8%,"$314,284",75.2%
460,461,Status Update,"$416,178","$4,764",1.1%,"$411,414",98.9%
461,462,Vertigo 2018 Re-release,"$408,560","$394,212",96.5%,"$14,348",3.5%
462,463,Please Stand By,"$406,732","$9,868",2.4%,"$396,864",97.6%
463,464,The Philadelphia Story 2018 Re-release,"$404,524","$404,524",100%,-,-
464,465,The Oath,"$401,463","$401,463",100%,-,-
465,466,West Side Story 2018 Re-release,"$398,670","$398,670",100%,-,-
466,467,Space Mutiny,"$397,887","$397,887",100%,-,-
467,468,Krull 2018 Re-release,"$397,157","$397,157",100%,-,-
468,469,The Escape,"$390,881","$14,018",3.6%,"$376,863",96.4%
469,470,"Westwood: Punk, Icon, Activist","$386,856","$58,979",15.2%,"$327,877",84.8%
470,471,How To Talk To Girls at Parties,"$385,733","$84,809",22%,"$300,924",78%
471,472,Flower,"$380,553","$328,188",86.2%,"$52,365",13.8%
472,473,Jane and Emma,"$380,030","$380,030",100%,-,-
473,474,Daughter of Mine,"$379,010","$10,628",2.8%,"$368,382",97.2%
474,475,Attack on Titan: Smoke Signal,"$377,334","$377,334",100%,-,-
475,476,The Dark Knight 2018 Re-release,"$375,589","$375,589",100%,-,-
476,477,Jurassic Park 2018 Re-release,"$374,238","$374,238",100%,-,-
477,478,Pom Poko 2018 Re-release,"$372,405","$372,405",100%,-,-
478,479,"Ruben Brandt, Collector 2018 Re-release","$369,809","$117,963",31.9%,"$251,846",68.1%
479,480,The Wizard of Oz 2018 Re-release,"$351,839","$351,839",100%,-,-
480,481,Bel Canto,"$350,264","$125,569",35.8%,"$224,695",64.2%
481,482,Suicide the Ripple Effect,"$347,468","$347,468",100%,-,-
482,483,Nureyev: Lifting the Curtain,"$342,255","$165,203",48.3%,"$177,052",51.7%
483,484,Knife + Heart,"$341,847","$32,516",9.5%,"$309,331",90.5%
484,485,Bolshoi Ballet: Swan Lake,"$341,058","$88,905",26.1%,"$252,153",73.9%
485,486,Silencio,"$338,596","$158,723",46.9%,"$179,873",53.1%
486,487,Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,"$335,697","$335,697",100%,-,-
487,488,Russ Taff: I Still Believe,"$334,983","$334,983",100%,-,-
488,489,Shine,"$333,388","$333,388",100%,-,-
489,490,The Opera House,"$325,235","$320,079",98.4%,"$5,156",1.6%
490,491,Teefa In Trouble,"$324,633",-,-,"$324,633",100%
491,492,The Bolshoi Ballet: Live From Moscow - The Nutcracker,"$323,928","$323,928",100%,-,-
492,493,The Cured,"$323,776","$26,630",8.2%,"$297,146",91.8%
493,494,Damsel,"$323,235","$305,136",94.4%,"$18,099",5.6%
494,495,Sauvage / Wild,"$317,536","$61,604",19.4%,"$255,932",80.6%
495,496,The Riot and the Dance,"$316,103","$316,103",100%,-,-
496,497,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088","$313,088",100%,-,-
497,498,MET Opera: Magic Flute,"$307,686","$307,686",100%,-,-
498,499,The Mercy 2018 Re-release,"$306,205","$29,538",9.6%,"$276,667",90.4%
499,500,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482","$304,482",100%,-,-
500,501,The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681","$302,681",100%,-,-
501,502,Sunset Blvd. 2018 Re-release,"$299,645","$299,645",100%,-,-
502,503,Harry Potter and the Sorcerer's Stone 2018 Re-release,"$295,917","$295,917",100%,-,-
503,504,Okko's Inn,"$293,385","$134,787",45.9%,"$158,598",54.1%
504,505,More Than Funny,"$290,498","$290,498",100%,-,-
505,506,Best F(r)iends: Volume 1,"$290,064","$252,410",87%,"$37,654",13%
506,507,The Silence of Others,"$289,455","$67,986",23.5%,"$221,469",76.5%
507,508,Generation Wealth,"$287,709","$237,709",82.6%,"$50,000",17.4%
508,509,Skate Kitchen,"$287,307","$236,799",82.4%,"$50,508",17.6%
509,510,Time Freak,"$285,416","$10,003",3.5%,"$275,413",96.5%
510,511,But Deliver Us from Evil,"$285,169","$285,169",100%,-,-
511,512,Disney's Newsies: The Broadway Musical! 2018 Re-release,"$282,429","$282,429",100%,-,-
512,513,Namaste England,"$279,934","$104,156",37.2%,"$175,778",62.8%
513,514,Wonders of the Sea,"$279,415","$100,780",36.1%,"$178,635",63.9%
514,515,Science Fair,"$277,338","$276,195",99.6%,"$1,143",0.4%
515,516,The King,"$273,601","$259,291",94.8%,"$14,310",5.2%
516,517,The World Before Your Feet,"$268,644","$268,644",100%,-,-
517,518,Doctor Who,"$264,629","$264,629",100%,-,-
518,519,The Producers 2018 Re-release,"$263,277","$216,807",82.3%,"$46,470",17.7%
519,520,The Final Year,"$262,286","$191,900",73.2%,"$70,386",26.8%
520,521,Eating You Alive,"$260,534","$260,534",100%,-,-
521,522,Across the Universe 2018 Re-release,"$258,618","$258,618",100%,-,-
522,523,Big 2018 Re-release,"$258,507","$258,507",100%,-,-
523,524,Helicopter Eela,"$256,952","$71,971",28%,"$184,981",72%
524,525,Hot Summer Nights,"$246,133",-,-,"$246,133",100%
525,526,Harry Potter and the Chamber of Secrets 2018 Re-release,"$245,501","$245,501",100%,-,-
526,527,The Fireflies Are Gone,"$245,006","$245,006",100%,-,-
527,528,Dark River,"$239,182","$7,714",3.2%,"$231,468",96.8%
528,529,RWBY: Argus Limited,"$238,379","$238,379",100%,-,-
529,530,Alien Intrusion: Unmasking a Deception,"$237,411","$237,411",100%,-,-
530,531,Diamantino,"$235,041","$70,088",29.8%,"$164,953",70.2%
531,532,Superman 2018 Re-release,"$233,585","$233,585",100%,-,-
532,533,Bishôjo senshi Sailor Moon Super S Special,"$231,434","$231,434",100%,-,-
533,534,"Belle and Sebastian, Friends for Life 2018 Re-release","$229,983","$105,890",46%,"$124,093",54%
534,535,Studio 54,"$227,062","$199,767",88%,"$27,295",12%
535,536,BuyBust,"$223,720","$178,471",79.8%,"$45,249",20.2%
536,537,Little Pink House,"$220,948","$220,948",100%,-,-
537,538,The Metropolitan Opera HD Live: Puccini: Turandot,"$219,619","$172,627",78.6%,"$46,992",21.4%
538,539,Fragments of Truth,"$219,342","$219,342",100%,-,-
539,540,Harry Potter and the Prisoner of Azkaban 2018 Re-release,"$218,774","$218,774",100%,-,-
540,541,Dark Money,"$217,932","$217,932",100%,-,-
541,542,Getting Grace,"$217,812","$217,812",100%,-,-
542,543,The Treasure of the Sierra Madre,"$215,295","$215,295",100%,-,-
543,544,Agent Mr. Chan,"$208,351","$208,351",100%,-,-
544,545,The Dating Project,"$208,100","$208,100",100%,-,-
545,546,Heading Home: The Tale of Team Israel,"$207,533","$207,533",100%,-,-
546,547,Keep the Change,"$202,788","$202,788",100%,-,-
547,548,The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217","$202,217",100%,-,-
548,549,Gemini,"$200,340","$200,340",100%,-,-
549,550,Rebel Without a Cause 2018 Re-release,"$199,963","$199,963",100%,-,-
550,551,Madeline's Madeline,"$197,309","$185,576",94.1%,"$11,733",5.9%
551,552,Have It All -The Movie,"$197,142","$197,142",100%,-,-
552,553,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,"$195,517","$166,616",85.2%,"$28,901",14.8%
553,554,Claire's Camera,"$191,980","$83,418",43.5%,"$108,562",56.5%
554,555,Harry Potter and the Goblet of Fire 2018 Re-release,"$188,716","$188,716",100%,-,-
555,556,The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946","$187,946",100%,-,-
556,557,Owaranai hito: Miyazaki Hayao,"$187,320","$187,320",100%,-,-
557,558,Twiceland,"$186,078","$52,874",28.4%,"$133,204",71.6%
558,559,National Theatre Live: King Lear,"$185,305","$185,305",100%,-,-
559,560,Cobra Kai Premiere Event feat. The Karate Kid,"$185,082","$185,082",100%,-,-
560,561,Shock and Awe,"$182,415","$77,980",42.7%,"$104,435",57.3%
561,562,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,"$181,938","$181,938",100%,-,-
562,563,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,"$175,922","$175,922",100%,-,-
563,564,Always at The Carlyle,"$174,251","$174,251",100%,-,-
564,565,The Bolshoi Ballet: Live From Moscow - La Sylphide,"$171,177","$171,177",100%,-,-
565,566,Girls of the Sun,"$168,771","$19,712",11.7%,"$149,059",88.3%
566,567,The Clovehitch Killer,"$167,994","$8,208",4.9%,"$159,786",95.1%
567,568,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,"$167,991","$167,991",100%,-,-
568,569,Is Genesis History? 2018 Re-release,"$166,763","$166,763",100%,-,-
569,570,Far From the Tree,"$166,018","$166,018",100%,-,-
570,571,Lost & Found,"$164,026","$125,173",76.3%,"$38,853",23.7%
571,572,The Samuel Project,"$161,565","$161,565",100%,-,-
572,573,Lu Over the Wall,"$161,253","$109,857",68.1%,"$51,396",31.9%
573,574,National Theatre Live: The Curious Incident of the Dog in the Night-Time 2018 Re-release,"$160,381","$160,381",100%,-,-
574,575,The Last Resort,"$158,646","$158,646",100%,-,-
575,576,Western,"$155,215","$41,072",26.5%,"$114,143",73.5%
576,577,Bad Reputation,"$154,190","$148,568",96.4%,"$5,622",3.6%
577,578,Eating Animals,"$153,993","$149,614",97.2%,"$4,379",2.8%
578,579,The Tag Along: Devil Fish,"$153,895","$20,726",13.5%,"$133,169",86.5%
579,580,"Buttons, A New Musical Film","$151,983","$151,983",100%,-,-
580,581,Harry Potter and the Deathly Hallows: Part 1 2018 Re-release,"$148,263","$148,263",100%,-,-
581,582,Night of the Living Dead 2018 Re-release,"$147,423","$147,423",100%,-,-
582,583,Hannah,"$146,325","$11,700",8%,"$134,625",92%
583,584,Mr. Smith Goes to Washington 2018 Re-release,"$144,738","$144,738",100%,-,-
584,585,The Price of Everything,"$144,446","$87,400",60.5%,"$57,046",39.5%
585,586,Aiyaary,"$143,108",-,-,"$143,108",100%
586,587,Best F(r)iends Volume Two,"$141,524","$141,524",100%,-,-
587,588,Support the Girls,"$139,550","$129,124",92.5%,"$10,426",7.5%
588,589,Head Full of Honey,"$138,844","$12,350",8.9%,"$126,494",91.1%
589,590,The Brawler,"$138,515","$75,929",54.8%,"$62,586",45.2%
590,591,Mantra: Sounds Into Silence,"$135,684","$115,013",84.8%,"$20,671",15.2%
591,592,Another Day of Life,"$134,801","$3,190",2.4%,"$131,611",97.6%
592,593,Harry Potter and the Order of the Phoenix 2018 Re-release,"$132,522","$132,522",100%,-,-
593,594,Rudy 2018 Re-release,"$131,200","$131,200",100%,-,-
594,595,The Image Book,"$130,802","$94,153",72%,"$36,649",28%
595,596,Saheb Biwi Aur Gangster 3,"$130,403",-,-,"$130,403",100%
596,597,Five Seasons: The Gardens of Piet Oudolf,"$130,319","$119,223",91.5%,"$11,096",8.5%
597,598,Harry Potter and the Half-Blood Prince 2018 Re-release,"$130,081","$130,081",100%,-,-
598,599,The Metropolitan Opera HD Live: Puccini: Madama Butterfly,"$129,730","$129,730",100%,-,-
599,600,The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin 2018 Re-release,"$129,498","$129,498",100%,-,-
600,601,The Metropolitan Opera HD Live: Verdi: Il Trovatore,"$129,393","$129,393",100%,-,-
601,602,Where Hands Touch,"$128,269","$67,743",52.8%,"$60,526",47.2%
602,603,Sleepless in Seattle 2018 Re-release,"$127,281","$127,281",100%,-,-
603,604,The Great Buster,"$125,807","$118,344",94.1%,"$7,463",5.9%
604,605,Hymn: Sarah Brightman In Concert,"$124,707","$113,274",90.8%,"$11,433",9.2%
605,606,'85: The Greatest Team in Football History,"$124,573","$124,573",100%,-,-
606,607,Wings of Desire 2018 Re-release,"$123,830","$123,830",100%,-,-
607,608,Blood Fest,"$122,833","$82,774",67.4%,"$40,059",32.6%
608,609,Yu-Gi-Oh!: The Movie - Pyramid of Light 2018 Re-release,"$121,688","$121,688",100%,-,-
609,610,Love After Love,"$121,098","$121,098",100%,-,-
610,611,Styx 2018 Re-release,"$118,188","$70,794",59.9%,"$47,394",40.1%
611,612,Bisbee '17,"$117,470","$117,470",100%,-,-
612,613,George Takei's Allegiance 2018 Re-release,"$117,162","$117,162",100%,-,-
613,614,Nostalgia,"$114,603","$114,603",100%,-,-
614,615,John McEnroe: In the Realm of Perfection,"$114,289","$90,964",79.6%,"$23,325",20.4%
615,616,Bodied,"$113,956","$113,956",100%,-,-
616,617,Filmworker,"$112,828","$102,609",90.9%,"$10,219",9.1%
617,618,A Boy. A Girl. A Dream.,"$112,552","$112,552",100%,-,-
618,619,"Hale County This Morning, This Evening","$112,282","$112,282",100%,-,-
619,620,The Dawn Wall,"$112,191","$112,191",100%,-,-
620,621,A Chance in the World - Premiere,"$112,007","$112,007",100%,-,-
621,622,A Paris Education,"$111,197","$21,598",19.4%,"$89,599",80.6%
622,623,Red Sorghum,"$108,371",-,-,"$108,371",100%
623,624,"No Date, No Signature","$107,368","$36,444",33.9%,"$70,924",66.1%
624,625,National Theatre Live: Julius Caesar,"$107,057","$107,057",100%,-,-
625,626,The Charmer,"$106,379","$26,167",24.6%,"$80,212",75.4%
626,627,Never Heard,"$105,271","$105,271",100%,-,-
627,628,Andrei Rublev 2018 Re-release,"$102,021","$102,021",100%,-,-
628,629,Kickboxer: Retaliation,"$101,690","$4,537",4.5%,"$97,153",95.5%
629,630,All About Nina,"$100,335","$100,335",100%,-,-
630,631,Meow Wolf: Origin Story,"$99,488","$99,488",100%,-,-
631,632,Reign of Judges: Title of Liberty - Concept Short,"$98,408","$93,224",94.7%,"$5,184",5.3%
632,633,National Theatre Live: Macbeth,"$97,857","$97,857",100%,-,-
633,634,Godspeed: The Race Across America,"$96,690","$96,690",100%,-,-
634,635,The Night Eats the World,"$95,208",-,-,"$95,208",100%
635,636,Let the Corpses Tan,"$93,409","$93,409",100%,-,-
636,637,Nancy,"$92,000","$80,115",87.1%,"$11,885",12.9%
637,638,BANDSTAND: The Broadway Musical on Screen 2018 Re-release,"$91,000","$91,000",100%,-,-
638,639,Yuri!!! On Ice,"$90,751","$81,878",90.2%,"$8,873",9.8%
639,640,Minding the Gap,"$90,328","$11,998",13.3%,"$78,330",86.7%
640,641,Running for Grace,"$89,988","$89,988",100%,-,-
641,642,Cat on a Hot Tin Roof,"$89,332","$89,332",100%,-,-
642,643,Goldstone 2018 Re-release,"$87,639","$87,639",100%,-,-
643,644,Beuys,"$86,451","$65,410",75.7%,"$21,041",24.3%
644,645,"Nico, 1988","$83,558","$73,304",87.7%,"$10,254",12.3%
645,646,Doctor Who: The Woman Who Fell to Earth,"$82,698","$82,698",100%,-,-
646,647,Bhavesh Joshi Superhero,"$81,792","$57,376",70.1%,"$24,416",29.9%
647,648,Yomeddine,"$81,030","$11,308",14%,"$69,722",86%
648,649,Woman Walks Ahead,"$80,912","$57,528",71.1%,"$23,384",28.9%
649,650,En el séptimo día,"$79,887","$79,887",100%,-,-
650,651,The Boxcar Children - Surprise Island,"$78,676","$78,676",100%,-,-
651,652,Un traductor,"$78,075","$13,509",17.3%,"$64,566",82.7%
652,653,Parchi,"$77,110","$69,431",90%,"$7,679",10%
653,654,93Queen,"$76,056","$76,056",100%,-,-
654,655,Touch Me Not,"$75,507","$13,782",18.3%,"$61,725",81.7%
655,656,The Riot Act,"$75,506","$75,506",100%,-,-
656,657,Above and Beyond: NASA's Journey to Tomorrow,"$74,711","$74,711",100%,-,-
657,658,The Boy Downstairs,"$73,988","$13,638",18.4%,"$60,350",81.6%
658,659,After Auschwitz,"$73,885","$73,885",100%,-,-
