,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
5109,The Boy Who Harnessed the Wind,False,[Drama],en,12.940999999999999,2019-03-01,8.0,491.0,,,,,,,,,The Boy Who Harnessed the Wind
5110,The Boy and the Beast,False,"[Animation, Fantasy]",ja,9.751,2015-07-11,8.0,755.0,,,116.0,"$49,714,378","$490,643",1%,"$49,223,735",99%,The Boy and the Beast
5111,The Boy in the Striped Pyjamas,False,"[Drama, War]",en,17.116,2008-05-07,7.8,4072.0,,,,,,,,,The Boy in the Striped Pyjamas
5112,The Brainwashing of My Dad,,,,,,,,,,715.0,"$7,028","$7,028",100%,-,-,The Brainwashing of My Dad
5113,The Brand New Testament,,,,,,,,,,191.0,"$15,709,652","$127,910",0.8%,"$15,581,742",99.2%,The Brand New Testament
5114,The Brave One,,,,,,,,"Sep 14, 2007"," $70,000,000",," $69,792,704"," $36,793,804",,,,The Brave One
5115,The Bravest,,,,,,,,,,34.0,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,The Bravest
5116,The Brawler,,,,,,,,,,590.0,"$138,515","$75,929",54.8%,"$62,586",45.2%,The Brawler
5117,The Breadwinner,False,"[Animation, Drama, War, Family]",en,8.166,2017-11-17,7.9,363.0,,,432.0,"$363,307","$312,381",86%,"$50,926",14%,The Breadwinner
5118,The Breadwinner 2018 Re-release,,,,,,,,,,311.0,"$2,426,907",$834,<0.1%,"$2,426,073",100%,The Breadwinner 2018 Re-release
5119,The Break-Up,False,"[Romance, Comedy]",en,12.624,2006-06-01,5.7,1676.0,"Jun 2, 2006"," $52,000,000",," $205,727,307"," $118,703,275",,,,The Break-Up
5120,The Breakfast Club,False,"[Comedy, Drama]",en,14.325999999999999,1985-02-15,7.8,4985.0,,,,,,,,,The Breakfast Club
5121,The Bride,,,,,,,,,,325.0,"$1,682,689",-,-,"$1,682,689",100%,The Bride
5122,The Bride of Frankenstein,False,[Horror],en,10.489,1935-04-20,7.5,430.0,,,,,,,,,The Bride of Frankenstein
5123,The Bridge on the River Kwai,False,"[Drama, History, War]",en,12.989,1957-10-02,7.9,1061.0,,,,,,,,,The Bridge on the River Kwai
5124,The Bridges of Madison County,False,"[Drama, Romance]",en,12.777999999999999,1995-05-28,7.6,943.0,,,,,,,,,The Bridges of Madison County
5125,The Brink,,,,,,,,,,492.0,"$106,057","$106,057",100%,-,-,The Brink
5126,The Broken Circle Breakdown,False,[Drama],nl,7.234,2012-10-09,7.8,673.0,,,,,,,,,The Broken Circle Breakdown
5127,The Bronze,,,,,,,,,,383.0,"$615,816","$615,816",100%,-,-,The Bronze
5128,The Brothers Grimm,,,,,,,,"Aug 26, 2005"," $80,000,000",," $105,299,638"," $37,899,638",,,,The Brothers Grimm
5129,The Brothers Grimsby,,,,,,,,"Feb 24, 2016"," $35,000,000",146.0,"$27,979,040","$6,874,837",24.6%,"$21,104,203",75.4%,The Brothers Grimsby
5130,The Bucket List,,,,,,,,"Dec 25, 2007"," $45,000,000",," $174,807,445"," $93,466,502",,,,The Bucket List
5131,The Butler,False,[Drama],en,9.582,2013-08-16,7.4,2031.0,,,,,,,,,The Butler
5132,The Butterfly Effect,False,"[Science Fiction, Thriller]",en,18.418,2004-01-22,7.5,4362.0,,,,,,,,,The Butterfly Effect
5133,The Bye Bye Man,,,,,,,,,,138.0,"$29,874,280","$22,395,806",75%,"$7,478,474",25%,The Bye Bye Man
5134,The Cabinet of Dr. Caligari,False,"[Crime, Drama, Horror, Thriller]",de,14.399000000000001,1920-02-25,7.9,669.0,,,,,,,,,The Cabinet of Dr. Caligari
5135,The Cable Guy,,,,,,,,"Jun 14, 1996"," $47,000,000",," $102,825,796"," $60,240,295",,,,The Cable Guy
5136,The Cage Fighter,,,,,,,,,,878.0,"$3,392","$3,392",100%,-,-,The Cage Fighter
5137,The Cakemaker,,,,,,,,,,362.0,"$1,287,568","$875,751",68%,"$411,817",32%,The Cakemaker
5138,The Call Up,,,,,,,,,,460.0,"$152,294",-,-,"$152,294",100%,The Call Up
5139,The Call of the Wild,,,,,,,,"Jan 3, 2020"," $125,000,000",," $80,271,172"," $46,893,651",,,,The Call of the Wild
5140,The Campaign,,,,,,,,"Aug 10, 2012"," $95,000,000",," $104,907,746"," $86,907,746",,,,The Campaign
5141,The Cannibal Man,False,"[Drama, Horror, Thriller]",es,1.768,1972-04-13,6.3,24.0,,,,,,,,,The Cannibal Man
5142,The Cannonball Run,False,"[Action, Comedy]",en,9.607999999999999,1981-06-19,6.2,306.0,,,,,,,,,The Cannonball Run
5143,The Captain,,,,,,,,,,367.0,"$1,196,669","$109,226",9.1%,"$1,087,443",90.9%,The Captain
5145,The Carer,,,,,,,,,,429.0,"$267,995","$6,208",2.3%,"$261,787",97.7%,The Carer
5146,The Case for Christ,,,,,,,,,,167.0,"$18,175,663","$14,682,684",80.8%,"$3,492,979",19.2%,The Case for Christ
5147,The Cat Rescuers,,,,,,,,,,569.0,"$31,540","$31,540",100%,-,-,The Cat Rescuers
5148,The Cat Returns 2018 Re-release,,,,,,,,,,428.0,"$563,718","$563,718",100%,-,-,The Cat Returns 2018 Re-release
5149,The Cat in the Hat,,,,,,,,"Nov 21, 2003"," $109,000,000",," $133,818,283"," $101,018,283",,,,The Cat in the Hat
5150,The Catcher Was a Spy,,,,,,,,,,386.0,"$953,953","$725,223",76%,"$228,730",24%,The Catcher Was a Spy
5151,The Cave,,,,,,,,,,433.0,"$197,097","$62,625",31.8%,"$134,472",68.2%,The Cave
5152,The Celebration,False,[Drama],da,10.052,1998-06-19,7.8,451.0,,,,,,,,,The Celebration
5153,The Cell,,,,,,,,"Aug 18, 2000"," $35,000,000",," $85,911,226"," $61,280,963",,,,The Cell
5154,The Challenge,,,,,,,,,,686.0,"$11,043","$11,043",100%,-,-,The Challenge
5155,The Challenger,,,,,,,,,,610.0,"$19,003","$19,003",100%,-,-,The Challenger
5156,The Chambermaid,,,,,,,,,,453.0,"$164,531","$86,422",52.5%,"$78,109",47.5%,The Chambermaid
5157,The Chambermaid Lynn,,,,,,,,,,529.0,"$71,918",$315,0.4%,"$71,603",99.6%,The Chambermaid Lynn
5158,The Change-Up,,,,,,,,"Aug 5, 2011"," $52,000,000",," $75,997,067"," $37,243,418",,,,The Change-Up
5159,The Channel,,,,,,,,,,642.0,"$18,319","$18,319",100%,-,-,The Channel
5160,The Chaperone,,,,,,,,,,263.0,"$1,541,223","$600,654",39%,"$940,569",61%,The Chaperone
5161,The Charmer,,,,,,,,,,626.0,"$106,379","$26,167",24.6%,"$80,212",75.4%,The Charmer
5162,The Charnel House,,,,,,,,,,720.0,"$6,332","$6,332",100%,-,-,The Charnel House
5163,The Chaser,False,"[Crime, Drama, Thriller]",ko,7.273,2008-02-14,7.8,530.0,,,,,,,,,The Chaser
5164,The Children Act,,,,,,,,,,174.0,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%,The Children Act
5165,The China Hustle,,,,,,,,,,701.0,"$48,650","$48,650",100%,-,-,The China Hustle
5166,The China Syndrome,False,"[Thriller, Drama]",en,6.745,1979-03-16,7.2,207.0,,,,,,,,,The China Syndrome
5167,The Choice,,,,,,,,,,166.0,"$23,064,015","$18,730,891",81.2%,"$4,333,124",18.8%,The Choice
5168,The Chorus,False,[Drama],fr,10.097000000000001,2004-03-17,7.7,1401.0,,,,,,,,,The Chorus
5169,The Chronicle of Anna Magdalena Bach,,,,,,,,,,793.0,"$17,527","$17,527",100%,-,-,The Chronicle of Anna Magdalena Bach
5170,The Chronicles of Narnia: Prince Caspian,False,"[Adventure, Fantasy, Family]",en,16.537,2008-05-15,6.5,4044.0,"May 16, 2008"," $225,000,000",," $417,341,288"," $141,621,490",,,,The Chronicles of Narnia: Prince Caspian
5171,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,"[Adventure, Fantasy, Family]",en,24.267,2005-12-07,7.1,6554.0,,,,,,,,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
5172,"The Chronicles of Narnia: The Lion, the Witch a…",,,,,,,,"Dec 9, 2005"," $180,000,000",," $720,539,572"," $291,710,957",,,,"The Chronicles of Narnia: The Lion, the Witch a…"
5173,The Chronicles of Narnia: The Voyage of the Dawn Treader,False,"[Adventure, Fantasy, Family]",en,14.835999999999999,2010-08-13,6.3,3636.0,,,,,,,,,The Chronicles of Narnia: The Voyage of the Dawn Treader
5174,The Chronicles of Narnia: The Voyage of the Daw…,,,,,,,,"Dec 10, 2010"," $155,000,000",," $418,186,950"," $104,386,950",,,,The Chronicles of Narnia: The Voyage of the Daw…
5175,The Chronicles of Riddick,,,,,,,,"Jun 11, 2004"," $120,000,000",," $107,212,751"," $57,712,751",,,,The Chronicles of Riddick
5176,The Church,,,,,,,,,,302.0,"$772,000","$772,000",100%,-,-,The Church
5177,The Circle,,,,,,,,,,122.0,"$40,656,399","$20,497,844",50.4%,"$20,158,555",49.6%,The Circle
5178,The Circus,False,"[Comedy, Romance]",en,10.151,1928-01-06,8.1,336.0,,,,,,,,,The Circus
5179,The Citizen 2018 Re-release,,,,,,,,,,877.0,"$3,495","$3,495",100%,-,-,The Citizen 2018 Re-release
5180,The City of Lost Children,False,"[Adventure, Fantasy, Science Fiction]",fr,11.395,1995-08-17,7.5,558.0,,,,,,,,,The City of Lost Children
5181,The Clan,,,,,,,,,,178.0,"$20,381,995","$201,227",1%,"$20,180,768",99%,The Clan
5182,The Client,,,,,,,,"Jul 20, 1994"," $45,000,000",," $117,615,211"," $92,115,211",,,,The Client
5183,The Climbers,,,,,,,,,,50.0,"$156,759,167","$487,157",0.3%,"$156,272,010",99.7%,The Climbers
5184,The Clovehitch Killer,,,,,,,,,,567.0,"$167,994","$8,208",4.9%,"$159,786",95.1%,The Clovehitch Killer
5185,The Club,,,,,,,,,,397.0,"$541,515","$52,761",9.7%,"$488,754",90.3%,The Club
5186,The Cokeville Miracle,,,,,,,,,,335.0,"$1,348,456","$1,348,456",100%,-,-,The Cokeville Miracle
5187,The Cold Blue,,,,,,,,,,352.0,"$420,177","$420,177",100%,-,-,The Cold Blue
5188,The Color Purple,False,[Drama],en,11.020999999999999,1985-12-18,7.8,846.0,,,,,,,,,The Color Purple
5189,The Color of Money,False,[Drama],en,10.914000000000001,1986-10-07,6.8,657.0,,,,,,,,,The Color of Money
5190,The Comedian,,,,,,,,,,328.0,"$1,659,002","$1,659,002",100%,-,-,The Comedian
5191,The Commitments,False,"[Comedy, Drama, Music]",en,7.141,1991-08-14,7.3,260.0,,,,,,,,,The Commitments
5192,The Commune,,,,,,,,,,274.0,"$4,410,339","$38,737",0.9%,"$4,371,602",99.1%,The Commune
5193,The Commuter,,,,,,,,"Jan 11, 2018"," $40,000,000",69.0,"$119,942,387","$36,343,858",30.3%,"$83,598,529",69.7%,The Commuter
5194,The Competition 2019 Re-release,,,,,,,,,,604.0,"$15,622","$15,622",100%,-,-,The Competition 2019 Re-release
5195,The Conformist,False,[Drama],it,10.006,1970-10-21,7.8,298.0,,,,,,,,,The Conformist
5196,The Congressman,,,,,,,,,,525.0,"$71,451","$71,451",100%,-,-,The Congressman
5197,The Conjuring,False,"[Horror, Thriller]",en,19.742,2013-03-20,7.5,6711.0,,,,,,,,,The Conjuring
5198,The Conjuring 2,,,,,,,,,,29.0,"$320,392,818","$102,470,008",32%,"$217,922,810",68%,The Conjuring 2
5199,The Conjuring 2: The Enfield Poltergeist,,,,,,,,"Jun 9, 2016"," $40,000,000",," $311,262,102"," $102,470,008",,,,The Conjuring 2: The Enfield Poltergeist
5200,The Consequences of Love,False,"[Crime, Drama]",it,6.227,2004-09-24,7.8,321.0,,,,,,,,,The Consequences of Love
5201,The Conversation,False,"[Crime, Drama, Mystery]",en,10.398,1974-04-07,7.6,770.0,,,,,,,,,The Conversation
5202,"The Cook, the Thief, His Wife & Her Lover",False,"[Crime, Drama]",en,11.697000000000001,1989-09-10,7.5,282.0,,,,,,,,,"The Cook, the Thief, His Wife & Her Lover"
5203,The Core,,,,,,,,"Mar 28, 2003"," $85,000,000",," $74,120,792"," $31,111,260",,,,The Core
5204,The Cotton Club,,,,,,,,"Dec 14, 1984"," $48,000,000",," $25,928,721"," $25,928,721",,,,The Cotton Club
5205,The Count of Monte Cristo,False,"[Action, Adventure, Drama, Thriller]",en,13.841,2002-01-23,7.5,906.0,"Jan 25, 2002"," $40,000,000",," $75,389,090"," $54,228,104",,,,The Count of Monte Cristo
5206,The Counterfeiters,False,"[Drama, War]",de,10.374,2007-02-09,7.4,267.0,,,,,,,,,The Counterfeiters
5207,The Cowboys,False,"[Action, Adventure, Drama, Western]",en,5.5329999999999995,1972-01-13,7.1,116.0,,,,,,,,,The Cowboys
5208,The Cranes Are Flying,,,,,,,,,,598.0,"$17,923","$17,923",100%,-,-,The Cranes Are Flying
5209,The Crime of Monsieur Lange,,,,,,,,,,570.0,"$38,002","$36,438",95.9%,"$1,564",4.1%,The Crime of Monsieur Lange
5210,The Croods,False,"[Action, Adventure, Animation, Comedy, Fantasy, Family]",en,18.11,2013-03-20,6.8,4307.0,"Mar 15, 2013"," $135,000,000",," $573,068,425"," $187,168,425",,,,The Croods
5211,The Crossing,,,,,,,,,,259.0,"$1,589,212","$90,896",5.7%,"$1,498,316",94.3%,The Crossing
5212,The Crow,False,"[Action, Fantasy, Thriller]",en,11.543,1994-05-11,7.5,2081.0,,,,,,,,,The Crow
5213,The Cure: Anniversary 1978-2018 Live in Hyde Park,,,,,,,,,,325.0,"$591,904","$378,405",63.9%,"$213,499",36.1%,The Cure: Anniversary 1978-2018 Live in Hyde Park
5214,The Cured,,,,,,,,,,493.0,"$323,776","$26,630",8.2%,"$297,146",91.8%,The Cured
5215,The Curious Case of Benjamin Button,False,"[Drama, Fantasy, Mystery, Thriller, Romance]",en,17.094,2008-12-25,7.5,7669.0,"Dec 25, 2008"," $160,000,000",," $329,631,958"," $127,509,326",,,,The Curious Case of Benjamin Button
5216,The Current War: Director's Cut,,,,,,,,,,160.0,"$11,545,439","$5,979,540",51.8%,"$5,565,899",48.2%,The Current War: Director's Cut
5217,The Curse of la Llorona,,,,,,,,,,58.0,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%,The Curse of la Llorona
5218,The Cyprus Tigers,False,"[Action, Adventure, Comedy]",cn,1.4,1990-10-25,6.0,2.0,,,,,,,,,The Cyprus Tigers
5219,The D Train,,,,,,,,,,376.0,"$774,780","$673,151",86.9%,"$101,629",13.1%,The D Train
5220,The Da Vinci Code,False,"[Mystery, Thriller]",en,17.877,2006-05-17,6.7,5821.0,"May 19, 2006"," $125,000,000",," $767,820,459"," $217,536,138",,,,The Da Vinci Code
5221,The Damned United,False,[Drama],en,9.113,2009-03-27,7.3,343.0,,,,,,,,,The Damned United
5222,The Danish Girl,False,[Drama],en,15.130999999999998,2015-11-27,7.6,4098.0,,,97.0,"$64,191,523","$11,114,018",17.3%,"$53,077,505",82.7%,The Danish Girl
5223,The Dark Below,,,,,,,,,,720.0,"$7,095","$7,095",100%,-,-,The Dark Below
5224,The Dark Crystal,False,"[Adventure, Animation, Fantasy, Family]",en,10.892999999999999,1982-12-17,7.2,588.0,,,,,,,,,The Dark Crystal
5225,The Dark Crystal 2018 Re-release,,,,,,,,,,375.0,"$1,036,956","$1,036,956",100%,-,-,The Dark Crystal 2018 Re-release
5226,The Dark Knight,False,"[Action, Crime, Drama, Thriller]",en,31.704,2008-07-16,8.4,21095.0,"Jul 18, 2008"," $185,000,000",," $1,003,509,293"," $535,234,033",,,,The Dark Knight
5227,The Dark Knight 2018 Re-release,,,,,,,,,,476.0,"$375,589","$375,589",100%,-,-,The Dark Knight 2018 Re-release
5228,The Dark Knight Rises,False,"[Action, Crime, Drama, Thriller]",en,29.26,2012-07-16,7.7,15356.0,"Jul 19, 2012"," $230,000,000",," $1,084,439,099"," $448,139,099",,,,The Dark Knight Rises
5229,The Dark Tower,,,,,,,,"Aug 2, 2017"," $60,000,000",70.0,"$113,231,078","$50,701,325",44.8%,"$62,529,753",55.2%,The Dark Tower
5230,The Darkest Hour,,,,,,,,"Dec 25, 2011"," $34,800,000",," $62,831,715"," $21,443,494",,,,The Darkest Hour
5231,The Darkest Minds,,,,,,,,"Aug 3, 2018"," $34,000,000",118.0,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%,The Darkest Minds
5232,The Darkness,,,,,,,,,,207.0,"$10,898,293","$10,753,574",98.7%,"$144,719",1.3%,The Darkness
5233,The Dating Project,,,,,,,,,,545.0,"$208,100","$208,100",100%,-,-,The Dating Project
5234,The Daughter,,,,,,,,,,335.0,"$1,505,434","$26,376",1.8%,"$1,479,058",98.2%,The Daughter
5235,The Dawn Wall,,,,,,,,,,620.0,"$112,191","$112,191",100%,-,-,The Dawn Wall
5236,The Dawn Wall 2018 Re-release,,,,,,,,,,353.0,"$1,442,013","$970,032",67.3%,"$471,981",32.7%,The Dawn Wall 2018 Re-release
5237,The Day After,,,,,,,,,,485.0,"$166,022","$24,746",14.9%,"$141,276",85.1%,The Day After
5238,The Day After Tomorrow,False,"[Action, Adventure, Science Fiction, Thriller]",en,9.817,2004-05-26,6.4,4896.0,"May 28, 2004"," $125,000,000",," $556,319,450"," $186,740,799",,,,The Day After Tomorrow
5239,The Day Shall Come,,,,,,,,,,331.0,"$543,993","$26,972",5%,"$517,021",95%,The Day Shall Come
5240,The Day of the Jackal,False,"[Action, Thriller]",en,9.691,1973-05-15,7.6,262.0,,,,,,,,,The Day of the Jackal
5241,The Day the Earth Stood Still,False,[Science Fiction],en,21.898000000000003,1951-09-28,7.5,567.0,"Dec 12, 2008"," $80,000,000",," $237,370,350"," $79,366,978",,,,The Day the Earth Stood Still
5242,The Dead Center,,,,,,,,,,637.0,"$8,320","$8,320",100%,-,-,The Dead Center
5243,The Dead Don't Die,,,,,,,,,,156.0,"$14,502,830","$6,563,605",45.3%,"$7,939,225",54.7%,The Dead Don't Die
5244,The Death & Life of John F. Donovan,False,[Drama],en,9.524,2019-03-13,7.3,367.0,,,,,,,,,The Death & Life of John F. Donovan
5245,The Death and Life of John F. Donovan,,,,,,,,,,225.0,"$3,326,364","$152,713",4.6%,"$3,173,651",95.4%,The Death and Life of John F. Donovan
5246,The Death of Dick Long,,,,,,,,,,558.0,"$36,856","$36,856",100%,-,-,The Death of Dick Long
5247,The Death of Louis XIV,,,,,,,,,,440.0,"$209,715","$43,635",20.8%,"$166,080",79.2%,The Death of Louis XIV
5248,The Death of Stalin,,,,,,,,,,153.0,"$24,646,055","$8,047,856",32.7%,"$16,598,199",67.3%,The Death of Stalin
5249,The Death of Superman,False,"[Action, Animation, Drama, Science Fiction]",en,10.886,2018-07-03,7.3,321.0,,,,,,,,,The Death of Superman
5250,The Deep End of the Ocean,,,,,,,,"Mar 12, 1999"," $40,000,000",," $13,508,635"," $13,508,635",,,,The Deep End of the Ocean
5251,The Deer Hunter,False,"[Drama, War]",en,14.200999999999999,1978-12-08,8.0,2009.0,,,,,,,,,The Deer Hunter
5252,The Departed,False,"[Drama, Thriller, Crime]",en,19.346,2006-10-05,8.1,9009.0,"Oct 6, 2006"," $90,000,000",," $289,660,619"," $132,384,315",,,,The Departed
5253,The Departure,,,,,,,,,,611.0,"$24,662","$24,662",100%,-,-,The Departure
5254,The Desert Bride,,,,,,,,,,466.0,"$205,350","$30,110",14.7%,"$175,240",85.3%,The Desert Bride
5255,The Devil Wears Prada,False,"[Comedy, Drama, Romance]",en,22.949,2006-06-30,7.3,7433.0,"Jun 30, 2006"," $35,000,000",," $326,073,155"," $124,740,460",,,,The Devil Wears Prada
5256,The Devil and Father Amorth,,,,,,,,,,775.0,"$20,449","$20,449",100%,-,-,The Devil and Father Amorth
5257,The Devil's Advocate,False,"[Drama, Mystery, Thriller, Fantasy, Horror]",en,14.267000000000001,1997-10-17,7.4,3138.0,,,,,,,,,The Devil's Advocate
5258,The Devil's Backbone,False,"[Drama, Fantasy, Horror, Thriller]",es,12.044,2001-04-20,7.3,612.0,,,,,,,,,The Devil's Backbone
5259,The Devil's Own,,,,,,,,"Mar 26, 1997"," $90,000,000",," $140,900,000"," $42,885,593",,,,The Devil's Own
5260,The Devotion of Suspect X,,,,,,,,,,95.0,"$59,035,664","$686,435",1.2%,"$58,349,229",98.8%,The Devotion of Suspect X
5261,The Diabolical,,,,,,,,,,516.0,"$84,259",-,-,"$84,259",100%,The Diabolical
5262,The Diary of a Teenage Girl,,,,,,,,,,321.0,"$1,775,133","$1,477,002",83.2%,"$298,131",16.8%,The Diary of a Teenage Girl
5263,The Dictator,,,,,,,,"May 16, 2012"," $65,000,000",," $180,148,897"," $59,650,222",,,,The Dictator
5264,The Dilemma,,,,,,,,"Jan 14, 2011"," $70,000,000",," $70,546,865"," $48,475,290",,,,The Dilemma
5265,The Dinner,,,,,,,,,,306.0,"$2,544,921","$1,323,312",52%,"$1,221,609",48%,The Dinner
5266,The Dinner Game,False,[Comedy],fr,9.542,1998-04-15,7.8,1010.0,,,,,,,,,The Dinner Game
5267,The Dirty Dozen,False,"[Action, Adventure, War]",en,9.592,1967-06-15,7.7,589.0,,,,,,,,,The Dirty Dozen
5268,The Disappearance of My Mother,,,,,,,,,,533.0,"$56,821","$24,951",43.9%,"$31,870",56.1%,The Disappearance of My Mother
5269,The Disappointments Room,,,,,,,,,,253.0,"$5,745,040","$2,423,468",42.2%,"$3,321,572",57.8%,The Disappointments Room
5270,The Disaster Artist,,,,,,,,,,139.0,"$29,820,616","$21,120,616",70.8%,"$8,700,000",29.2%,The Disaster Artist
5271,The Discreet Charm of the Bourgeoisie,False,[Comedy],fr,9.474,1972-09-15,7.7,349.0,,,,,,,,,The Discreet Charm of the Bourgeoisie
5272,The Divergent Series: Allegiant,,,,,,,,"Mar 9, 2016"," $110,000,000",," $172,022,517"," $66,184,051",,,,The Divergent Series: Allegiant
5273,The Divergent Series: Insurgent,,,,,,,,"Mar 18, 2015"," $110,000,000",," $295,075,882"," $130,179,072",,,,The Divergent Series: Insurgent
5274,The Divine Fury,,,,,,,,,,159.0,"$11,799,556","$102,982",0.9%,"$11,696,574",99.1%,The Divine Fury
5275,The Divine Order,,,,,,,,,,473.0,"$195,081","$76,277",39.1%,"$118,804",60.9%,The Divine Order
5276,The Divine Plan,,,,,,,,,,438.0,"$190,031","$190,031",100%,-,-,The Divine Plan
5277,The Diving Bell and the Butterfly,False,[Drama],fr,9.63,2007-05-23,7.6,636.0,,,,,,,,,The Diving Bell and the Butterfly
5278,The Doberman Gang,False,"[Action, Comedy, Crime]",en,3.4219999999999997,1972-01-01,5.8,25.0,,,,,,,,,The Doberman Gang
5279,The Doctor from India,,,,,,,,,,669.0,"$67,136","$67,136",100%,-,-,The Doctor from India
5280,The Dog Wedding,,,,,,,,,,593.0,"$29,495","$29,495",100%,-,-,The Dog Wedding
5281,The Doors,,,,,,,,"Mar 1, 1991"," $40,000,000",," $34,420,595"," $34,416,893",,,,The Doors
5282,The Double Life of Véronique,False,"[Drama, Thriller]",fr,11.417,1991-05-15,7.7,321.0,,,,,,,,,The Double Life of Véronique
5283,The Dressmaker,,,,,,,,,,168.0,"$23,762,417","$2,022,115",8.5%,"$21,740,302",91.5%,The Dressmaker
5284,The Duelist,,,,,,,,,,250.0,"$6,101,904","$13,450",0.2%,"$6,088,454",99.8%,The Duelist
5285,The Duellists,False,"[Drama, War]",en,9.386000000000001,1977-08-31,7.5,226.0,,,,,,,,,The Duellists
5286,The Duff,,,,,,,,,,128.0,"$43,709,744","$34,030,343",77.9%,"$9,679,401",22.1%,The Duff
5287,The Duke of Burgundy,,,,,,,,,,462.0,"$185,147","$64,521",34.8%,"$120,626",65.2%,The Duke of Burgundy
5288,The Dukes of Hazzard,,,,,,,,"Aug 5, 2005"," $53,000,000",," $109,848,461"," $80,270,227",,,,The Dukes of Hazzard
5289,The Dying of the Light,,,,,,,,,,719.0,"$6,627","$6,627",100%,-,-,The Dying of the Light
5290,The Eagle Huntress,,,,,,,,,,275.0,"$4,400,140","$3,169,351",72%,"$1,230,789",28%,The Eagle Huntress
5291,The Edge of Seventeen,,,,,,,,,,177.0,"$19,370,020","$14,431,633",74.5%,"$4,938,387",25.5%,The Edge of Seventeen
5292,The Eiger Sanction,False,"[Action, Adventure, Crime, Drama, Mystery, Thriller]",en,5.86,1975-05-21,6.2,171.0,,,,,,,,,The Eiger Sanction
5293,The Electric Horseman,False,"[Drama, Comedy, Western, Romance]",en,5.178,1979-12-21,6.2,72.0,,,,,,,,,The Electric Horseman
5294,The Elephant Man,False,"[Drama, History]",en,13.225999999999999,1980-10-02,8.1,1738.0,,,,,,,,,The Elephant Man
5295,The Emoji Movie,,,,,,,,"Jul 26, 2017"," $50,000,000",45.0,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%,The Emoji Movie
5296,The Emperor's New Groove,False,"[Adventure, Animation, Comedy, Fantasy, Family]",en,16.379,2000-12-09,7.5,3898.0,"Dec 15, 2000"," $100,000,000",," $169,296,573"," $89,296,573",,,,The Emperor's New Groove
5297,The Empire Strikes Back,False,"[Action, Adventure, Science Fiction]",en,21.553,1980-05-20,8.4,10953.0,,,,,,,,,The Empire Strikes Back
5298,The Empire of Corpses,,,,,,,,,,560.0,"$43,320",-,-,"$43,320",100%,The Empire of Corpses
5299,The End,False,[Comedy],en,3.583,1978-05-10,6.0,20.0,,,,,,,,,The End
5300,The End of the Tour,,,,,,,,,,296.0,"$3,072,991","$3,002,884",97.7%,"$70,107",2.3%,The End of the Tour
5301,The Endless,,,,,,,,,,385.0,"$956,425","$272,020",28.4%,"$684,405",71.6%,The Endless
5302,The Enforcer,False,"[Action, Crime, Thriller]",en,11.06,1976-12-20,6.8,423.0,,,,,,,,,The Enforcer
5303,The English Patient,False,"[Drama, Romance, War]",en,11.205,1996-11-05,7.1,1133.0,"Nov 15, 1996"," $35,000,000",," $231,710,008"," $78,716,374",,,,The English Patient
5304,The Equalizer,,,,,,,,"Sep 26, 2014"," $55,000,000",," $192,903,624"," $101,530,738",,,,The Equalizer
5305,The Equalizer 2,,,,,,,,"Jul 18, 2018"," $77,000,000",43.0,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,The Equalizer 2
5306,The Escape,,,,,,,,,,469.0,"$390,881","$14,018",3.6%,"$376,863",96.4%,The Escape
5307,The Evil Dead,False,[Horror],en,14.094000000000001,1981-10-15,7.3,1977.0,,,,,,,,,The Evil Dead
5308,The Ex-File 3: The Return of The Exes,,,,,,,,,,29.0,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%,The Ex-File 3: The Return of The Exes
5309,The Exception,,,,,,,,,,374.0,"$834,572","$708,973",85%,"$125,599",15%,The Exception
5310,The Exorcist,False,[Horror],en,17.840999999999998,1973-12-26,7.6,4438.0,,,,,,,,,The Exorcist
5311,The Expendables,,,,,,,,"Aug 13, 2010"," $82,000,000",," $268,268,174"," $103,068,524",,,,The Expendables
5312,The Expendables 2,,,,,,,,"Aug 15, 2012"," $100,000,000",," $311,979,256"," $85,028,192",,,,The Expendables 2
5313,The Expendables 3,,,,,,,,"Aug 14, 2014"," $100,000,000",," $209,461,378"," $39,322,544",,,,The Expendables 3
5314,The Experiment,False,"[Drama, Thriller]",de,8.079,2001-03-07,7.5,615.0,,,,,,,,,The Experiment
5315,The Express,,,,,,,,"Oct 10, 2008"," $37,500,000",," $9,813,309"," $9,793,406",,,,The Express
5316,The Exterminating Angel,False,"[Comedy, Drama, Fantasy]",es,7.09,1962-05-16,8.0,298.0,,,,,,,,,The Exterminating Angel
5317,The Eyes,,,,,,,,,,698.0,"$9,104","$9,104",100%,-,-,The Eyes
