,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
2878,L.O.R.D: Legend of Ravaging Dynasties,,,,,,,,,,105.0,"$58,089,494","$350,456",0.6%,"$57,739,038",99.4%,L.O.R.D: Legend of Ravaging Dynasties
2879,LBJ,,,,,,,,,,309.0,"$2,510,151","$2,470,979",98.4%,"$39,172",1.6%,LBJ
2880,La Bamba,False,"[Drama, Music]",en,7.0889999999999995,1987-07-24,6.9,286.0,,,,,,,,,La Bamba
2881,La Belle Noiseuse 2017 Re-release,,,,,,,,,,756.0,"$3,540","$3,540",100%,-,-,La Belle Noiseuse 2017 Re-release
2882,La Cage aux Folles,False,[Comedy],fr,6.5329999999999995,1978-10-25,6.9,167.0,,,,,,,,,La Cage aux Folles
2883,La Chinoise 2017 Re-release,,,,,,,,,,732.0,"$5,631","$5,631",100%,-,-,La Chinoise 2017 Re-release
2884,La Dolce Vita,False,"[Comedy, Drama]",it,12.719000000000001,1960-02-05,8.2,864.0,,,,,,,,,La Dolce Vita
2885,La Flor,,,,,,,,,,662.0,"$4,032","$4,032",100%,-,-,La Flor
2886,La Haine,False,[Drama],fr,11.755999999999998,1995-05-31,8.0,1786.0,,,,,,,,,La Haine
2887,La Jetée,False,"[Science Fiction, Romance]",fr,8.76,1962-02-16,8.0,370.0,,,,,,,,,La Jetée
2888,La La Land,False,"[Comedy, Drama, Romance, Music]",en,23.781999999999996,2016-11-29,7.9,11295.0,,,17.0,"$446,171,671","$151,101,803",33.9%,"$295,069,868",66.1%,La La Land
2889,La Luna,False,"[Animation, Family]",en,10.202,2012-02-10,8.0,425.0,,,,,,,,,La Luna
2890,La Maison en Petits Cubes,False,"[Animation, Drama, Family]",ja,8.078,2008-06-10,8.0,280.0,,,,,,,,,La Maison en Petits Cubes
2891,La Notte,False,[Drama],it,7.365,1961-01-23,8.0,223.0,,,566.0,"$39,236","$39,236",100%,-,-,La Notte
2892,La Strada,False,[Drama],it,9.232000000000001,1954-07-16,8.0,475.0,,,,,,,,,La Strada
2893,La Vie en Rose,False,"[Drama, Music]",fr,9.607000000000001,2007-02-14,7.5,945.0,,,,,,,,,La Vie en Rose
2894,La Vie scolaire,False,"[Comedy, Drama]",fr,7.43,2019-08-28,7.5,256.0,,,,,,,,,La Vie scolaire
2895,La boda de Valentina,,,,,,,,,,210.0,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%,La boda de Valentina
2896,La ch'tite famille,,,,,,,,"Mar 2, 2018"," $31,400,000",," $49,832,644", $0,,,,La ch'tite famille
2897,La femme de mon frère,,,,,,,,,,255.0,"$1,671,969","$539,524",32.3%,"$1,132,445",67.7%,La femme de mon frère
2898,La folle histoire de Max et Léon,,,,,,,,,,222.0,"$8,750,678",$543,<0.1%,"$8,750,135",100%,La folle histoire de Max et Léon
2899,Labyrinth 2018 Re-release,,,,,,,,,,380.0,"$993,336","$993,336",100%,-,-,Labyrinth 2018 Re-release
2900,Ladder 49,,,,,,,,"Oct 1, 2004"," $60,000,000",," $102,332,848"," $74,541,707",,,,Ladder 49
2901,Ladrones,,,,,,,,,,281.0,"$3,504,414","$3,063,505",87.4%,"$440,909",12.6%,Ladrones
2902,Lady Bird,False,"[Comedy, Drama]",en,20.145,2017-09-08,7.3,4632.0,,,83.0,"$78,965,611","$48,958,273",62%,"$30,007,338",38%,Lady Bird
2903,Lady Frankenstein,False,"[Horror, Science Fiction]",it,2.362,1971-10-22,5.0,24.0,,,,,,,,,Lady Frankenstein
2904,Lady Macbeth,,,,,,,,,,243.0,"$5,401,447","$1,129,408",20.9%,"$4,272,039",79.1%,Lady Macbeth
2905,Lady in the Water,,,,,,,,"Jul 21, 2006"," $75,000,000",," $72,785,169"," $42,285,169",,,,Lady in the Water
2906,Lagaan: Once Upon a Time in India,False,"[Adventure, Drama, Music, Romance]",hi,9.411,2001-06-15,7.4,267.0,,,,,,,,,Lagaan: Once Upon a Time in India
2907,Lamb,,,,,,,,,,589.0,"$30,844","$14,547",47.2%,"$16,297",52.8%,Lamb
2908,Lambert & Stamp,,,,,,,,,,463.0,"$183,320","$183,320",100%,-,-,Lambert & Stamp
2909,Land of Mine,False,"[Drama, History, War]",da,10.675999999999998,2015-12-03,7.8,789.0,,,294.0,"$3,169,553","$435,266",13.7%,"$2,734,287",86.3%,Land of Mine
2910,Land of the Lost,,,,,,,,"Jun 5, 2009"," $100,000,000",," $69,548,641"," $49,438,370",,,,Land of the Lost
2911,Landfill Harmonic,,,,,,,,,,653.0,"$17,205","$17,205",100%,-,-,Landfill Harmonic
2912,Landline,,,,,,,,,,369.0,"$940,854","$940,854",100%,-,-,Landline
2913,Lara Croft: Tomb Raider,False,"[Adventure, Fantasy, Action, Thriller]",en,16.006,2001-06-11,5.8,4137.0,"Jun 15, 2001"," $94,000,000",," $273,330,185"," $131,144,183",,,,Lara Croft: Tomb Raider
2914,Lara Croft: Tomb Raider: The Cradle of Life,,,,,,,,"Jul 25, 2003"," $90,000,000",," $157,092,943"," $65,653,758",,,,Lara Croft: Tomb Raider: The Cradle of Life
2915,Last Action Hero,False,"[Adventure, Fantasy, Action, Comedy, Family]",en,12.214,1993-06-18,6.3,1445.0,"Jun 18, 1993"," $85,000,000",," $137,298,489"," $50,016,394",,,,Last Action Hero
2916,Last Cab to Darwin,,,,,,,,,,253.0,"$5,543,036","$34,193",0.6%,"$5,508,843",99.4%,Last Cab to Darwin
2917,Last Christmas,,,,,,,,,,62.0,"$121,550,750","$35,150,750",28.9%,"$86,400,000",71.1%,Last Christmas
2918,Last Days in the Desert,,,,,,,,,,607.0,"$24,352",-,-,"$24,352",100%,Last Days in the Desert
