,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
15,False,/9PwUQZDHGPKsgbnoBl1Ah9zXWjk.jpg,"[18, 10749]",453,en,A Beautiful Mind,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",21.357,/4SFqHDZ1NvWdysucWbgnYlobdxC.jpg,2001-12-11,A Beautiful Mind,False,7.8,6210
16,False,/uZTtVdOEIwPA6vwVRI3217DoPM.jpg,"[35, 10749]",466282,en,To All the Boys I've Loved Before,Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,51.04,/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg,2018-08-16,To All the Boys I've Loved Before,False,7.8,5507
17,False,/wyld9bdysIE7DhoCdF0iAZAMwML.jpg,"[28, 35, 80]",25253,fr,Les Tontons flingueurs,"An aging gangster, Fernand Naudin is hoping for a quiet retirement when he suddenly inherits a fortune from an old friend, a former gangster supremo known as the Mexican. If he is ambivalent about his new found wealth, Fernand is positively nonplussed to discover that he has also inherited his benefactor’s daughter, Patricia. Unfortunately, not only does Fernand have to put up with the thoroughly modern Patricia and her nauseating boyfriend, but he also had to contend with the Mexican’s trigger-happy former employees, who are determined to make a claim.",8.427,/1aZixNERm68Y5ZMzTxWl1PdDyFo.jpg,1963-11-27,Crooks in Clover,False,7.8,252
18,False,/byyly5AGJNnOGdpMODupOmzAPHS.jpg,[18],925,en,Do the Right Thing,"Salvatore ""Sal"" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.",9.228,/63rmSDPahrH7C1gEFYzRuIBAN9W.jpg,1989-06-14,Do the Right Thing,False,7.8,743
19,False,/tFyhGkJgV6M5zZAjS8SBVqOjzH4.jpg,"[18, 10752]",14574,en,The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",17.116,/f40R9to84FGF7T5bp3KGB84Lklb.jpg,2008-05-07,The Boy in the Striped Pyjamas,False,7.8,4072
0,False,/t3Oea7KbSpOvuqddMnlFtZ4WHn.jpg,"[18, 36, 53]",314365,en,Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",17.069,/ngKxbvsn9Si5TYVJfi1EGAGwThU.jpg,2015-11-06,Spotlight,False,7.8,5495
1,False,/jRNqzZZwYIpiukkblMQ4G2Vc5p7.jpg,"[80, 9648, 53]",963,en,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",12.646,/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg,1941-10-18,The Maltese Falcon,False,7.8,857
2,False,/tsix4gtq4lx28I8vTuCH2BAy0A.jpg,"[16, 10751]",24480,en,Partly Cloudy,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring them to life. Gus, a lonely and insecure grey cloud, is a master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works of art, but more than a handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage to handle both his hazardous cargo and his friend's fiery temperament?",9.768,/5M5bg79OV96Vb4O0fDjX5clxASG.jpg,2009-05-28,Partly Cloudy,False,7.8,607
3,False,/bn3HuWjpHH9q0mnjajc7ubJ28OE.jpg,[18],702,en,A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,12.094,/aicdlO5vt7z2ARm279eGzJeYCLQ.jpg,1951-09-18,A Streetcar Named Desire,False,7.8,675
4,False,/bRT9Z3yK3SBbUMNoV4TUCEHgscG.jpg,"[12, 18, 37]",581,en,Dances with Wolves,"Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",19.546,/uzMI1WbliKbXbjvdiDKnwb2ndsG.jpg,1990-11-09,Dances with Wolves,False,7.8,2298
